,cue,association,explanation,relation,source
381,blaster,gun,a blaster is a type of gun,category-exemplar-pairs,original
382,blender,mix,i use the blender to mix ingredients .,function,original
383,bless,praise,bless has a similar meaning as praise .,synonym,original
384,bless,worship,bless has a similar meaning as worship .,synonym,original
385,board,wood,the board is made out of a rare wood .,material-madeof,original
386,bottle,container,"a bottle is a container , containing something .",category-exemplar-pairs,original
387,bottle,container,a bottle is a type of container .,category-exemplar-pairs,original
388,bottles,transparent,bottles are usually transparent because they are made of glass,hasproperty,original
389,bottles,glass,most bottles are made of glass as the main material,material-madeof,original
390,bridge,connects,a bridge connects two pieces of land,function,original
391,bridge,connect,the bridge is what connect the two mega cities .,function,original
392,bridge,construction,the construction of the bridge has started .,category-exemplar-pairs,original
393,bridge,transportation,transportation is the important thing in bridge,function,original
394,buddy,boyfriend,buddy is defined as the boyfriend,synonym,original
395,build,construct,build is the synonym of the construct .,synonym,original
396,build,create,build is the synonym of the create,synonym,original
397,building,brick,the brick building was sturdy and tall .,material-madeof,original
398,buildings,tall,many buildings downtown are tall .,hasproperty,original
399,building,tall,the building is very tall .,hasproperty,original
400,building,tall,the building was tall and overshadowed the smaller ones around it .,hasproperty,original
401,bullet,kill,a bullet can kill someone .,function,original
402,bullet,round,a bullet is often referred to as a round .,hasproperty,original
403,businesses,stockpile,businesses need to stockpile some goods for selling,has-prerequisite,original
404,business,occupation,business has a similar meaning as occupation .,synonym,original
405,business,profession,business has a similar meaning as profession .,synonym,original
406,cafeteria,schools,most schools have a cafeteria where students can purchase a hot or cold lunch .,location,original
407,camera,picture,the camera took a black and white picture,function,original
408,camera,pictures,you can take many pictures with a camera .,function,original
409,camera,videos,the videos captured by the camera were of poor quality .,function,original
410,carpets,dirty,carpets get very dirty over time .,hasproperty,original
411,carpet,dirty,the carpet is dirty and needed to be cleaned .,hasproperty,original
412,carpets,fur,some carpets can be bought that are made of fur,material-madeof,original
413,chairs,office,you have many chairs in the office,location,original
414,chair,bench,a bench is a longer type of chair for people to sit on .,category-exemplar-pairs,original
415,chairs,wood,a lot of chairs are typically made of wood .,material-madeof,original
416,champagne,france,champagne is a region in france,partof,original
417,champagne,bubbly,champagne is bubbly when you first open and pour,hasproperty,original
418,champagne,bubbly,champagne is looks like bubbly,hasproperty,original
419,champagne,sparkling,champagne is a sparkling wine,hasproperty,original
420,chanting,prayer,chanting can be a form of prayer in some religions .,category-exemplar-pairs,original
421,cheap,expensive,the opposite of cheap is expensive .,antonym,original
422,checks,bank,checks are taken to the bank .,location,original
423,chest,box,a chest is a special type of box .,category-exemplar-pairs,original
424,chest,body,the chest is a very important part of the body .,partof,original
425,chickadee,bird,a chickadee is a type of bird .,category-exemplar-pairs,original
426,chickadee,bird,the chickadee is a bird of flight .,category-exemplar-pairs,original
427,chickadee,birds,the girl enjoyed learning about birds and she found the chickadee to be adorable,category-exemplar-pairs,original
428,chickadee,small,a chickadee is a small bird .,hasproperty,original
429,chickadees,smallest,chickadees are one of the smallest animals .,hasproperty,original
430,chickadees,small,chickadees tend to be quite small .,hasproperty,original
431,choke,abuse,"if you choke someone , that is a form of abuse",category-exemplar-pairs,original
432,choke,suffocate,choke is also defined as the suffocate,synonym,original
433,cholesterol,medication,if your cholesterol is too high you might need to take medication for it .,has-prerequisite,original
434,cleft,horse,cleft is a type of horse disease .,category-exemplar-pairs,original
435,climber,mountain,a climber can be seen hiking on a mountain .,location,original
436,climber,mountain,a mountain is climbed by a climber,location,original
437,climber,mountain,the climber ascended the mountain slowly .,location,original
