,cue,association,explanation,relation,WorkerId
63,ammunition,shells,ammunition is a supply of shells.,Category-Exemplar-Pairs,9
64,ammunition,shells,ammunition is a supply of shells.,PartOf,4
65,ammunition,shells,ammunition is a supply of shells.,Synonym,2
66,ammunition,shells,ammunition is a supply of shells.,Members-of-the-same-Category,5
67,ammunition,shells,ammunition is a supply of shells.,Category-Exemplar-Pairs,7
68,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.",Synonym,2
69,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.",Emotion-Evaluation,4
70,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.",Synonym,8
71,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.",Synonym,5
72,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Category-Exemplar-Pairs,10
73,angles,triangle,triangles have different kinds of angles.,PartOf,10
74,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Category-Exemplar-Pairs,9
75,angles,triangle,triangles have different kinds of angles.,PartOf,9
76,angles,triangle,the triangle has three angles.,PartOf,8
77,angles,triangle,a triangle has 3 sides and 3 angles.,PartOf,8
78,angles,triangle,the triangle has three angles.,PartOf,4
79,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Action,5
80,angles,triangle,a triangle has 3 sides and 3 angles.,PartOf,4
81,angles,triangle,the triangle has three angles.,HasProperty,5
82,angles,triangle,a triangle has 3 sides and 3 angles.,HasProperty,5
83,angles,triangle,a triangle has 3 sides and 3 angles.,PartOf,3
84,angles,triangle,the triangle has three angles.,PartOf,3
85,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Members-of-the-same-Category,7
86,angles,triangle,triangles have different kinds of angles.,PartOf,3
87,angles,triangle,triangles have different kinds of angles.,HasProperty,5
88,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Category-Exemplar-Pairs,3
89,angles,triangle,triangles have different kinds of angles.,PartOf,6
90,appointment,early,i try to be early for my appointments.,Action,4
91,appointment,early,i try to be early for my appointments.,Time,7
92,appointment,early,i try to be early for my appointments.,Time,5
93,appointment,early,i try to be early for my appointments.,Time,2
94,appointment,late,sometimes i am late for my appointment.,Time,7
95,appointment,late,sometimes i am late for my appointment.,Time,6
96,appointment,late,sometimes i am late for my appointment.,Thematic,3
97,appointment,time,an appointment is a scheduled date and time for a meeting.,Category-Exemplar-Pairs,4
98,appointment,time,an appointment is a scheduled date and time for a meeting.,PartOf,3
99,appointment,time,an appointment is a scheduled date and time for a meeting.,Time,8
100,appointment,time,an appointment is a scheduled date and time for a meeting.,Thematic,5
101,attend,present,attending an event means that you are present at the venue.,Synonym,7
102,attend,present,attending an event means that you are present at the venue.,Synonym,4
103,attend,present,attending an event means that you are present at the venue.,Synonym,5
104,attend,present,attending an event means that you are present at the venue.,Has-Prerequisite,2
105,attend,problem,the manager has to attend to the problem immediately.,Action,6
106,attend,problem,the manager has to attend to the problem immediately.,Action,1
107,attend,problem,the manager has to attend to the problem immediately.,Action,5
108,attend,problem,the manager has to attend to the problem immediately.,Action,2
109,attend,problem,the manager has to attend to the problem immediately.,Action,7
110,awful,rude,someone very rude would be considered awful.,Synonym,10
111,awful,rude,someone very rude would be considered awful.,Synonym,9
112,awful,rude,someone very rude would be considered awful.,Emotion-Evaluation,3
113,awful,rude,someone very rude would be considered awful.,Result-In,7
114,awful,rude,someone very rude would be considered awful.,Members-of-the-same-Category,4
115,awful,rude,someone very rude would be considered awful.,Synonym,5
116,bagpipe,kilt,men playing bagpipes often wear kilts.,Thematic,10
117,bagpipe,kilt,men playing bagpipes often wear kilts.,Thematic,9
118,bagpipe,kilt,men playing bagpipes often wear kilts.,PartOf,5
119,bagpipe,kilt,men playing bagpipes often wear kilts.,Thematic,6
120,bagpipe,kilt,men playing bagpipes often wear kilts.,Result-In,7
121,bagpipe,kilt,men playing bagpipes often wear kilts.,Thematic,2
122,baked,fried,baked and fried are two ways to prepare food.,Members-of-the-same-Category,7
123,baked,fried,baked and fried are two ways to prepare food.,Members-of-the-same-Category,4
124,baked,fried,baked and fried are two ways to prepare food.,Thematic,5
125,baked,fried,baked and fried are two ways to prepare food.,Members-of-the-same-Category,3
126,baked,goods,the baked goods just came out of the oven.,Common-Phrase,10
127,baked,goods,the baked goods just came out of the oven.,Common-Phrase,9
128,baked,goods,baked goods are a treat that is often full of sugar.,Common-Phrase,8
129,baked,goods,the baked goods smelled amazing.,HasProperty,5
130,baked,goods,the baked goods just came out of the oven.,Common-Phrase,5
131,baked,goods,baked goods are a treat that is often full of sugar.,Common-Phrase,5
132,baked,goods,baked goods are a treat that is often full of sugar.,Action,6
133,baked,goods,the baked goods smelled amazing.,Common-Phrase,8
134,baked,goods,the baked goods smelled amazing.,Common-Phrase,3
135,baked,goods,the baked goods smelled amazing.,Common-Phrase,4
136,baked,goods,the baked goods just came out of the oven.,PartOf,7
137,baked,goods,baked goods are a treat that is often full of sugar.,Common-Phrase,3
138,baked,goods,the baked goods just came out of the oven.,Result-In,6
139,baked,oven,if something was baked then it was cooked in an oven.,Location,10
140,baked,oven,if something was baked then it was cooked in an oven.,Location,9
141,baked,oven,if something was baked then it was cooked in an oven.,Location,4
142,baked,oven,if something was baked then it was cooked in an oven.,Function,8
143,baked,oven,if something was baked then it was cooked in an oven.,Location,3
144,baked,oven,if something was baked then it was cooked in an oven.,Has-Prerequisite,5
145,bastard,mean,"when a man is mean, he may be called a bastard.",HasProperty,10
146,bastard,mean,"when a man is mean, he may be called a bastard.",HasProperty,9
147,bastard,mean,"when a man is mean, he may be called a bastard.",Result-In,5
148,bastard,mean,"when a man is mean, he may be called a bastard.",Emotion-Evaluation,6
149,bastard,mean,"when a man is mean, he may be called a bastard.",HasProperty,7
150,bastard,mean,"when a man is mean, he may be called a bastard.",Result-In,3
151,beauty,natural,some women are lucky enough to have a natural beauty.,Common-Phrase,6
152,beauty,natural,some women are lucky enough to have a natural beauty.,Common-Phrase,8
153,beauty,natural,some women are lucky enough to have a natural beauty.,Common-Phrase,3
154,beauty,natural,some women are lucky enough to have a natural beauty.,Common-Phrase,5
155,believable,trustworthy,"when someone is believable, he/she can be trustworthy.",Synonym,10
156,believable,trustworthy,"when someone is believable, he/she can be trustworthy.",Members-of-the-same-Category,9
157,believable,trustworthy,"when someone is believable, he/she can be trustworthy.",Category-Exemplar-Pairs,3
158,believable,trustworthy,if someone is believable they are trustworthy.,Synonym,4
159,believable,trustworthy,"for someone to be believable, they must be trustworthy.",Result-In,8
160,believable,trustworthy,"when someone is believable, he/she can be trustworthy.",Result-In,8
161,believable,trustworthy,if someone is believable they are trustworthy.,Result-In,8
162,believable,trustworthy,"when someone is believable, he/she can be trustworthy.",Has-Prerequisite,5
163,believable,trustworthy,if someone is believable they are trustworthy.,Synonym,5
164,believable,trustworthy,"when someone is believable, he/she can be trustworthy.",Synonym,6
165,believable,trustworthy,"for someone to be believable, they must be trustworthy.",Synonym,6
166,believable,trustworthy,if someone is believable they are trustworthy.,Synonym,3
167,believable,trustworthy,"for someone to be believable, they must be trustworthy.",Has-Prerequisite,5
168,believable,trustworthy,"for someone to be believable, they must be trustworthy.",Synonym,3
169,belong,group,i like to feel like i belong when i am part of a group.,Emotion-Evaluation,10
170,belong,group,i like to feel like i belong when i am part of a group.,Emotion-Evaluation,9
171,belong,group,i like to feel like i belong when i am part of a group.,Action,5
172,belong,group,i like to feel like i belong when i am part of a group.,HasProperty,6
173,belong,group,i like to feel like i belong when i am part of a group.,Has-Prerequisite,7
174,belong,group,i like to feel like i belong when i am part of a group.,Emotion-Evaluation,2
175,biblical,eden,the garden of eden is a biblical place.,Thematic,10
176,biblical,eden,the garden of eden is a biblical place.,Thematic,9
177,biblical,eden,the garden of eden is a biblical place.,HasProperty,4
178,biblical,eden,the garden of eden is a biblical place.,Thematic,5
179,biblical,eden,the garden of eden is a biblical place.,Location,8
180,biblical,eden,the garden of eden is a biblical place.,Thematic,3
181,bibliography,paper,a bibliography is at the end of an academic paper.,PartOf,3
182,bibliography,paper,a bibliography is at the end of an academic paper.,PartOf,6
183,bibliography,paper,a bibliography is at the end of an academic paper.,PartOf,8
184,bibliography,paper,a bibliography is at the end of an academic paper.,Category-Exemplar-Pairs,5
185,bibliography,source,bibliography contains information of your sources or work.,HasProperty,6
186,bibliography,source,bibliography contains information of your sources or work.,PartOf,1
187,bibliography,source,bibliography contains information of your sources or work.,PartOf,7
188,bibliography,source,bibliography contains information of your sources or work.,PartOf,3
189,bibliography,source,bibliography contains information of your sources or work.,PartOf,5
190,bibliography,title ,bibliography contains the titles of the works.,PartOf,6
191,bibliography,title ,bibliography contains the titles of the works.,Members-of-the-same-Category,8
192,bibliography,title ,bibliography contains the titles of the works.,PartOf,3
193,bibliography,title ,bibliography contains the titles of the works.,PartOf,5
194,blender,fruits,my blender mostly blends fruits.,Function,10
195,blender,fruits,my blender mostly blends fruits.,Function,9
196,blender,fruits,my blender mostly blends fruits.,Function,4
197,blender,fruits,my blender mostly blends fruits.,Action,8
198,blender,fruits,my blender mostly blends fruits.,Function,5
199,blender,fruits,my blender mostly blends fruits.,Thematic,2
200,bodily,alive,bodily parts are alive.,HasProperty,4
201,bodily,alive,bodily parts are alive.,Thematic,7
202,bodily,alive,bodily parts are alive.,HasProperty,2
203,bodily,alive,bodily parts are alive.,HasProperty,5
204,bodily,excrement,bodily excrements are anything that is not used by the body and removed.,Common-Phrase,4
205,bodily,excrement,bodily excrements are anything that is not used by the body and removed.,Common-Phrase,2
206,bodily,excrement,bodily excrements are anything that is not used by the body and removed.,Common-Phrase,5
207,bodily,excrement,bodily excrements are anything that is not used by the body and removed.,Common-Phrase,8
208,bodily,warm,bodily parts have a warm temperature.,HasProperty,5
209,bodily,warm,bodily parts have a warm temperature.,Emotion-Evaluation,6
210,bodily,warm,bodily parts have a warm temperature.,HasProperty,7
211,bodily,warm,bodily parts have a warm temperature.,HasProperty,3
212,brave,tough,a person that is brave is very tough.,Synonym,5
213,brave,tough,a person that is brave is very tough.,Synonym,2
214,brave,tough,a person that is brave is very tough.,Synonym,8
215,brave,tough,a person that is brave is very tough.,Synonym,6
216,break,crack,when something breaks it might have a crack in it.,Result-In,10
217,break,crack,when something breaks it might have a crack in it.,Result-In,9
218,break,crack,when something breaks it might have a crack in it.,Members-of-the-same-Category,8
219,break,crack,when something breaks it might have a crack in it.,Result-In,4
220,break,crack,when something breaks it might have a crack in it.,Has-Prerequisite,5
221,break,crack,when something breaks it might have a crack in it.,Result-In,3
222,break,split,if something breaks then it might be split in two.,Result-In,10
223,break,split,if something breaks then it might be split in two.,Result-In,9
224,break,split,if something breaks then it might be split in two.,Result-In,4
225,break,split,if something breaks then it might be split in two.,Has-Prerequisite,5
226,break,split,if something breaks then it might be split in two.,Result-In,7
227,break,split,if something breaks then it might be split in two.,Synonym,2
228,breath,gum,i like to chew gum to keep my breath fresh.,Function,4
229,breath,gum,i like to chew gum to keep my breath fresh.,Function,8
230,breath,gum,i like to chew gum to keep my breath fresh.,Function,5
231,breath,gum,i like to chew gum to keep my breath fresh.,Result-In,3
232,breath,inhale,to breath you must inhale.,Has-Prerequisite,10
233,breath,inhale,to breath you must inhale.,Action,9
234,breath,inhale,to breath you must inhale.,Action,6
235,breath,inhale,to breath you must inhale.,Result-In,7
236,breath,inhale,to breath you must inhale.,Has-Prerequisite,5
237,breath,inhale,to breath you must inhale.,Has-Prerequisite,2
238,breath,oxygen,when you breath you inhale oxygen.,Result-In,10
239,breath,oxygen,when you breath you inhale oxygen.,Result-In,9
240,breath,oxygen,when you breath you inhale oxygen.,Result-In,5
241,breath,oxygen,when you breath you inhale oxygen.,Action,4
242,breath,oxygen,when you breath you inhale oxygen.,Function,3
243,bridge,drive,driving across really high or old bridges is scary.,Action,10
244,bridge,drive,driving across really high or old bridges is scary.,Action,9
245,bridge,drive,driving across really high or old bridges is scary.,Thematic,6
246,bridge,drive,driving across really high or old bridges is scary.,Action,5
247,bridge,drive,driving across really high or old bridges is scary.,Location,3
248,bridge,drive,driving across really high or old bridges is scary.,Location,7
249,bright,light,when someone says something is bright they are usually talking about a light,Synonym,10
250,bright,light,when someone says something is bright they are usually talking about a light,HasProperty,9
251,bright,light,the light was very bright.,HasProperty,7
252,bright,light,lights can often be bright.,HasProperty,8
253,bright,light,the light was very bright.,HasProperty,4
254,bright,light,when someone says something is bright they are usually talking about a light,Synonym,5
255,bright,light,the light was very bright.,HasProperty,5
256,bright,light,when someone says something is bright they are usually talking about a light,HasProperty,6
257,bright,light,lights can often be bright.,HasProperty,5
258,bright,light,when someone says something is bright they are usually talking about a light,Thematic,7
259,bright,light,the light was very bright.,HasProperty,3
260,bright,light,lights can often be bright.,HasProperty,3
261,bright,light,lights can often be bright.,HasProperty,6
262,bright,smart,"she was bright, the smartest one in her class.",HasProperty,7
263,bright,smart,someone who is bright could also be called smart.,Members-of-the-same-Category,7
264,bright,smart,"when a child is very smart, they are considered very bright.",Synonym,4
265,bright,smart,someone who is bright could also be called smart.,Synonym,4
266,bright,smart,"she was bright, the smartest one in her class.",Emotion-Evaluation,5
267,bright,smart,"when a child is very smart, they are considered very bright.",Synonym,8
268,bright,smart,"she was bright, the smartest one in her class.",Synonym,3
269,bright,smart,"when a child is very smart, they are considered very bright.",Synonym,3
270,bright,smart,"when a child is very smart, they are considered very bright.",HasProperty,5
271,bright,smart,someone who is bright could also be called smart.,Synonym,3
272,bright,smart,someone who is bright could also be called smart.,Synonym,5
273,bright,smart,"she was bright, the smartest one in her class.",Synonym,6
274,bring,carry,"when you bring something, you need to carry it.",Category-Exemplar-Pairs,10
275,bring,carry,"when you bring something, you need to carry it.",Category-Exemplar-Pairs,9
276,bring,carry,"when you bring something, you need to carry it.",Category-Exemplar-Pairs,3
277,bring,carry,"when you bring something, you need to carry it.",Synonym,4
278,bring,share,people bring dishes to a potluck to share with each other.,Result-In,10
279,bring,share,people bring dishes to a potluck to share with each other.,Result-In,9
280,bring,share,people bring dishes to a potluck to share with each other.,Action,6
281,bring,share,people bring dishes to a potluck to share with each other.,Action,5
282,bring,share,people bring dishes to a potluck to share with each other.,Has-Prerequisite,2
283,bring,take,you must take the object to bring it with you.,Has-Prerequisite,4
284,bring,take,you must take the object to bring it with you.,Antonym,8
285,bring,take,you must take the object to bring it with you.,Synonym,2
286,broken,car,i cannot go shopping because my car is broken.,HasProperty,10
287,broken,car,i cannot go shopping because my car is broken.,HasProperty,9
288,broken,car,i cannot go shopping because my car is broken.,Action,4
289,broken,car,i cannot go shopping because my car is broken.,Result-In,5
290,broken,car,i cannot go shopping because my car is broken.,HasProperty,2
291,brought,took,the opposite of took it home with her is brought it here with her.,Antonym,3
292,brought,took,the opposite of took it home with her is brought it here with her.,Antonym,8
293,brought,took,the opposite of took it home with her is brought it here with her.,Antonym,6
294,brought,took,the opposite of took it home with her is brought it here with her.,Antonym,5
295,bucket,wash,i use a bucket to wash my car.,Function,8
296,bucket,wash,i use a bucket to wash my car.,Function,6
297,bucket,wash,i use a bucket to wash my car.,Function,5
298,bucket,wash,i use a bucket to wash my car.,Function,2
299,buddy,together,buddies love to spend time together.,Emotion-Evaluation,10
300,buddy,together,buddies love to spend time together.,Emotion-Evaluation,9
301,buddy,together,buddies love to spend time together.,Emotion-Evaluation,5
302,buddy,together,buddies love to spend time together.,Result-In,7
303,buddy,together,buddies love to spend time together.,Thematic,4
304,buddy,together,buddies love to spend time together.,Location,2
305,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,Thematic,10
306,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,Thematic,9
307,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,PartOf,4
308,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,Action,5
309,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,PartOf,2
310,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,Action,7
311,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Thematic,10
312,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Thematic,9
313,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Common-Phrase,8
314,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Common-Phrase,6
315,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Thematic,3
316,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Thematic,5
317,bunch,roses,you very commonly find roses sold in a bunch.,Thematic,7
318,bunch,roses,you very commonly find roses sold in a bunch.,HasProperty,4
319,bunch,roses,you very commonly find roses sold in a bunch.,Thematic,3
320,bunch,roses,you very commonly find roses sold in a bunch.,Thematic,5
321,career,money,my career allows me to earn money to pay for life's essentials.,Result-In,10
322,career,money,people earn money through their career.,Function,10
323,career,money,when you have a career it is to earn money,Function,10
324,career,money,my career allows me to earn money to pay for life's essentials.,Function,9
325,career,money,people earn money through their career.,Function,9
326,career,money,when you have a career it is to earn money,Function,9
327,career,money,people earn money through their career.,Function,3
328,career,money,people earn money through their career.,Result-In,8
329,career,money,my career allows me to earn money to pay for life's essentials.,Has-Prerequisite,5
330,career,money,my career allows me to earn money to pay for life's essentials.,Function,4
331,career,money,when you have a career it is to earn money,Has-Prerequisite,5
332,career,money,people earn money through their career.,HasProperty,6
333,career,money,my career allows me to earn money to pay for life's essentials.,Thematic,7
334,career,money,when you have a career it is to earn money,Function,4
335,career,money,when you have a career it is to earn money,Result-In,7
336,career,money,when you have a career it is to earn money,Function,3
337,career,money,my career allows me to earn money to pay for life's essentials.,Result-In,3
338,career,money,people earn money through their career.,Has-Prerequisite,5
339,career,work,the work you do for the rest of your life is considered your career.,Category-Exemplar-Pairs,10
340,career,work,the work you do for the rest of your life is considered your career.,Category-Exemplar-Pairs,9
341,career,work,the work you do for the rest of your life is considered your career.,Synonym,4
342,career,work,the work you do for the rest of your life is considered your career.,Category-Exemplar-Pairs,8
343,career,work,the work you do for the rest of your life is considered your career.,PartOf,2
344,careful,cautious,someone who is careful is usually cautious.,Synonym,4
345,careful,cautious,someone who is careful is usually cautious.,Synonym,2
346,careful,cautious,someone who is careful is usually cautious.,Synonym,5
347,careful,cautious,someone who is careful is usually cautious.,Synonym,7
348,careful,safe,"if you want to be careful, then you're trying to be safe.",Has-Prerequisite,4
349,careful,safe,"if you want to be careful, then you're trying to be safe.",Has-Prerequisite,7
350,careful,safe,"if you want to be careful, then you're trying to be safe.",Emotion-Evaluation,3
351,careful,safe,"if you want to be careful, then you're trying to be safe.",Synonym,5
352,carnivore,prey,carnivore animals chase after and eat their prey.,Action,5
353,carnivore,prey,carnivore animals chase after and eat their prey.,Category-Exemplar-Pairs,8
354,carnivore,prey,carnivore animals chase after and eat their prey.,Action,3
355,carnivore,prey,carnivore animals chase after and eat their prey.,Thematic,6
356,carrying,child,sometimes parents can be seen carrying their small child.,Action,5
357,carrying,child,sometimes parents can be seen carrying their small child.,Action,6
358,carrying,child,sometimes parents can be seen carrying their small child.,Action,8
359,carrying,child,sometimes parents can be seen carrying their small child.,Action,3
360,casino,money,casinos are full of tons of money locked up.,Location,10
361,casino,money,casinos tend to make a lot of money,Thematic,10
362,casino,money,i try to win money at the casino.,Location,10
363,casino,money,casinos are full of tons of money locked up.,Location,9
364,casino,money,casinos tend to make a lot of money,Action,9
365,casino,money,i try to win money at the casino.,Action,9
366,casino,money,there is lots of money exchanged at casinos,Location,3
367,casino,money,i won money at the casino.,Location,7
368,casino,money,i try to win money at the casino.,Location,8
369,casino,money,there is lots of money exchanged at casinos,Location,7
370,casino,money,there is lots of money exchanged at casinos,Location,5
371,casino,money,i won money at the casino.,Action,5
372,casino,money,casinos are full of tons of money locked up.,Location,4
373,casino,money,there is lots of money exchanged at casinos,Action,4
374,casino,money,i try to win money at the casino.,Action,4
375,casino,money,casinos are full of tons of money locked up.,PartOf,5
376,casino,money,i try to win money at the casino.,Action,5
377,casino,money,casinos tend to make a lot of money,Function,8
378,casino,money,i won money at the casino.,Location,6
379,casino,money,i won money at the casino.,Location,3
380,casino,money,casinos tend to make a lot of money,Location,3
381,casino,money,casinos are full of tons of money locked up.,PartOf,7
382,casino,money,casinos tend to make a lot of money,HasProperty,5
383,casino,money,i try to win money at the casino.,Location,3
384,casino,money,casinos are full of tons of money locked up.,Location,3
385,castle,huge,a castle is made up of several huge towers.,PartOf,6
386,castle,huge,a castle is made up of several huge towers.,HasProperty,2
387,castle,huge,a castle is made up of several huge towers.,Material-MadeOf,5
388,castle,huge,a castle is made up of several huge towers.,HasProperty,8
389,castle,medieval,a castle is a large building commonly found in the medieval period.,Time,6
390,castle,medieval,a castle is a large building commonly found in the medieval period.,Time,5
391,castle,medieval,a castle is a large building commonly found in the medieval period.,Time,3
392,castle,stone,a castle is often made of stone.,Material-MadeOf,6
393,castle,stone,a castle is often made of stone.,Material-MadeOf,5
394,castle,stone,a castle is often made of stone.,Material-MadeOf,8
395,castle,stone,a castle is often made of stone.,Material-MadeOf,3
396,catcher,ball,a catcher usually catches a ball,Action,10
397,catcher,ball,a catcher usually catches a ball,Action,9
398,catcher,ball,the catcher threw the ball back to the pitcher.,Action,7
399,catcher,ball,the catcher threw the ball back.,Action,4
400,catcher,ball,the catcher threw the ball back to the pitcher.,Action,5
401,catcher,ball,a catcher usually catches a ball,Function,5
402,catcher,ball,the catcher threw the ball back.,Function,8
403,catcher,ball,a catcher usually catches a ball,Function,8
404,catcher,ball,the catcher threw the ball back to the pitcher.,Action,3
405,catcher,ball,a catcher usually catches a ball,Action,4
406,catcher,ball,the catcher threw the ball back.,Action,3
407,catcher,ball,a catcher usually catches a ball,Action,3
408,catcher,ball,the catcher threw the ball back.,Action,5
409,catcher,ball,the catcher threw the ball back to the pitcher.,Action,6
410,certain,sure,"when someone is sure about something, they are certain.",Synonym,4
411,certain,sure,"when someone is sure about something, they are certain.",Synonym,5
412,certain,sure,"when someone is sure about something, they are certain.",Synonym,3
413,certain,sure,"when someone is sure about something, they are certain.",Synonym,8
414,champagne,beer,champagne and beer are both alcoholic drinks.,Members-of-the-same-Category,3
415,champagne,beer,champagne and beer are both alcoholic drinks.,Members-of-the-same-Category,8
416,champagne,beer,champagne and beer are both alcoholic drinks.,Members-of-the-same-Category,6
417,champagne,beer,champagne and beer are both alcoholic drinks.,Members-of-the-same-Category,5
418,champagne,celebration,you drink champagne at a celebration.,Location,10
419,champagne,celebration,you drink champagne at a celebration.,Location,9
420,champagne,celebration,you drink champagne at a celebration.,Time,8
421,champagne,celebration,you drink champagne at a celebration.,Function,4
422,champagne,celebration,you drink champagne at a celebration.,Location,3
423,champagne,celebration,you drink champagne at a celebration.,Location,5
424,change,spare,some people save their spare change in a container.,Common-Phrase,4
425,change,spare,some people save their spare change in a container.,Common-Phrase,5
426,change,spare,some people save their spare change in a container.,Common-Phrase,3
427,change,tire,"if a tire goes flat, it has to be changed.",Action,4
428,change,tire,"if a tire goes flat, it has to be changed.",Action,7
429,change,tire,"if a tire goes flat, it has to be changed.",Action,3
430,change,tire,"if a tire goes flat, it has to be changed.",Has-Prerequisite,5
431,chanting,crowd,the crowd at the game was chanting after the winning touchdown.,Action,3
432,chanting,crowd,the crowd at the game was chanting after the winning touchdown.,Result-In,7
433,chanting,crowd,the crowd was chanting for the home team,Action,8
434,chanting,crowd,the crowd at the game was chanting after the winning touchdown.,Action,4
435,chanting,crowd,the crowd was chanting for the home team,Action,4
436,chanting,crowd,the crowd was chanting the players name.,Action,5
437,chanting,crowd,the crowd at the game was chanting after the winning touchdown.,Action,5
