,label,text
161,7,miles [SEP] distance
162,0,misguided [SEP] wrong
163,3,mission [SEP] secret
164,7,mommy [SEP] child
165,13,mommy [SEP] daddy
166,9,month [SEP] july
167,9,mountain [SEP] fuji
168,5,movies [SEP] scripted
169,2,obstruct [SEP] plan
170,7,operator [SEP] phone
171,7,operator [SEP] sade
172,0,operator [SEP] user
173,6,opinions [SEP] disagreement
174,2,order [SEP] fries
175,0,organization [SEP] company
176,5,outspoken [SEP] loudly
177,5,outspoken [SEP] vehement
178,12,overdue [SEP] books
179,6,overdue [SEP] fine
180,13,paper [SEP] plastic
181,2,passing [SEP] another
182,3,passing [SEP] by
183,2,passing [SEP] cautious
184,8,patients [SEP] hospital
185,5,pensive [SEP] elderly
186,0,permission [SEP] allowing
187,11,permission [SEP] song
188,10,pieces [SEP] whole
189,9,planet [SEP] pluto
190,5,poison [SEP] dangerous
191,9,politics [SEP] republicans
192,7,position [SEP] second
193,2,possibilities [SEP] choose
194,2,possibility [SEP] face
195,0,possible [SEP] can
196,0,possible [SEP] chance
197,8,powder [SEP] face
198,6,prepared [SEP] plan
199,6,pressure [SEP] constraints
200,10,printer [SEP] cartridge
201,0,priority [SEP] concern
202,11,priority [SEP] rushed
203,9,profit [SEP] money
204,2,prohibition [SEP] denied
205,11,promoted [SEP] good
206,4,protect [SEP] rights
207,2,prove [SEP] theory
208,7,publicity [SEP] celebrity
209,0,purpose [SEP] reason
210,0,quickly [SEP] fast
211,6,radioactive [SEP] atoms
212,5,radioactive [SEP] nuclear
213,14,raspberries [SEP] jam
214,5,rational [SEP] smart
215,12,ready [SEP] start
216,12,ready [SEP] time
217,0,realistic [SEP] pragmatic
218,1,reality [SEP] fantasy
219,2,reality [SEP] live
220,3,record [SEP] over
221,9,refreshment [SEP] water
222,11,refuge [SEP] safe
223,0,refuge [SEP] security
224,2,reigns [SEP] subjects
225,3,relationship [SEP] close
226,5,report [SEP] sound
227,8,restaurants [SEP] gather
228,0,review [SEP] evaluate
229,4,roller [SEP] spin
230,3,roman [SEP] empire
231,3,roman [SEP] numerals
232,5,runny [SEP] mucus
233,6,safe [SEP] fearless
234,6,safe [SEP] relieved
235,15,salad [SEP] dressing
236,5,salsa [SEP] spicy
237,4,sandpaper [SEP] wood
238,15,scared [SEP] ghost
239,15,scared [SEP] murder
240,4,scout [SEP] evaluates
241,0,scout [SEP] investigate
242,0,scrap [SEP] rid
243,2,senators [SEP] voted
244,1,sending [SEP] receiving
245,10,series [SEP] string
246,5,shadowy [SEP] dark
247,0,shady [SEP] sneaky
248,6,shady [SEP] tree
249,8,shaker [SEP] pepper
250,0,shape [SEP] condition
251,6,shrivels [SEP] withers
252,4,signal [SEP] informs
253,6,signal [SEP] react
254,5,silver [SEP] utensils
255,7,simple [SEP] living
256,0,single [SEP] one
257,13,sister [SEP] daughter
258,6,skills [SEP] hobby
259,7,skill [SEP] sports
260,4,sling [SEP] support
261,7,soldier [SEP] billy
262,9,soldiers [SEP] fighters
263,8,soldier [SEP] tomb
264,3,spare [SEP] change
265,0,special [SEP] interesting
266,5,spotted [SEP] leopard
267,10,stairs [SEP] floors
268,2,stall [SEP] car
269,6,standing [SEP] feet
270,6,standing [SEP] posture
271,11,steady [SEP] endurance
272,2,steady [SEP] race
273,8,store [SEP] purchase
274,10,strand [SEP] thread
275,0,strategic [SEP] calculated
276,0,strategic [SEP] tactical
277,2,support [SEP] politician
278,0,supportive [SEP] helpful
279,0,surpasses [SEP] excel
280,12,surprise [SEP] birthday
281,3,sweet [SEP] caroline
282,9,tablets [SEP] ipad
283,2,tactful [SEP] conversation
284,11,tactful [SEP] words
285,15,temptation [SEP] dessert
286,3,temptation [SEP] resist
287,13,thousand [SEP] million
288,3,thousand [SEP] years
289,5,throat [SEP] sore
290,15,tired [SEP] feel
291,6,tired [SEP] working
292,0,total [SEP] all
293,7,tradition [SEP] jimmy
294,6,trial [SEP] verdict
295,0,truth [SEP] honest
296,2,twist [SEP] cap
297,2,understand [SEP] language
298,7,vacation [SEP] chevy
299,5,vacuum [SEP] noisy
300,5,vampire [SEP] sharp
301,7,vampire [SEP] sunlight
302,4,vegetation [SEP] food
303,11,vegetation [SEP] water
304,0,violated [SEP] breached
305,5,vivid [SEP] bright
306,9,volcano [SEP] helens
307,15,wasting [SEP] bad
308,2,wasting [SEP] money
309,12,weekend [SEP] yardwork
310,10,woman [SEP] breasts
311,4,working [SEP] computer
312,0,worried [SEP] scared
313,15,worry [SEP] weather
314,2,wounds [SEP] heal
315,2,writing [SEP] essay
316,5,yelling [SEP] loud
317,1,absent [SEP] present
318,0,absent [SEP] missing
319,1,absent [SEP] present
320,0,absolutely [SEP] utterly
321,9,abstract [SEP] summary
322,1,abstract [SEP] concrete
323,11,access [SEP] allowed
324,0,access [SEP] entry
325,0,actually [SEP] truly
326,0,additive [SEP] addition
327,0,adept [SEP] skillful
328,1,advantage [SEP] disadvantage
329,0,advantage [SEP] edge
330,10,advertising [SEP] marketing
331,1,agreeable [SEP] disagreeable
332,1,ahead [SEP] behind
333,8,aliens [SEP] space
334,8,alien [SEP] space
335,8,alien [SEP] space
336,8,aliens [SEP] space
337,9,ammunition [SEP] bullets
338,0,anger [SEP] aggression
339,0,anger [SEP] rage
340,0,angled [SEP] fished
341,0,angle [SEP] gradient
342,0,angle [SEP] slant
343,9,animal [SEP] bird
344,9,animal [SEP] cat
345,9,animal [SEP] mammal
346,0,animal [SEP] beast
347,0,annually [SEP] yearly
348,5,apartment [SEP] furnished
349,9,apartment [SEP] dwelling
350,0,apartment [SEP] flat
351,9,apple [SEP] fruit
352,9,apple [SEP] fruit
353,9,apple [SEP] fruit
354,9,apple [SEP] fruits
355,9,apple [SEP] fruit
356,9,apple [SEP] fruit
357,5,apple [SEP] green
358,5,apple [SEP] red
359,9,argument [SEP] debate
360,11,aroused [SEP] sex
361,9,assistance [SEP] social
362,0,attend [SEP] accompany
363,1,attend [SEP] missed
364,1,avoid [SEP] confront
365,0,aware [SEP] enlightened
366,11,bathrooms [SEP] cleaned
367,10,battle [SEP] fight
368,10,battle [SEP] war
369,0,battle [SEP] war
370,0,beautiful [SEP] handsome
371,10,bedrooms [SEP] bed
372,10,bedroom [SEP] bed
373,1,beginning [SEP] end
374,0,believable [SEP] credible
375,0,believable [SEP] likely
376,0,belong [SEP] consist
377,9,beret [SEP] hat
378,10,bicycle [SEP] pedals
379,4,bicycle [SEP] ride
380,4,bicycle [SEP] ride
381,8,bicycles [SEP] street
382,4,bicycle [SEP] cycling
383,1,biggest [SEP] smallest
384,9,blaster [SEP] gun
385,4,blender [SEP] mix
386,0,bless [SEP] praise
387,0,bless [SEP] worship
388,14,board [SEP] wood
389,9,bottle [SEP] container
390,9,bottle [SEP] container
391,5,bottles [SEP] transparent
392,14,bottles [SEP] glass
393,4,bridge [SEP] connects
394,4,bridge [SEP] connect
395,9,bridge [SEP] construction
396,4,bridge [SEP] transportation
397,0,buddy [SEP] boyfriend
398,0,build [SEP] construct
399,0,build [SEP] create
400,14,building [SEP] brick
401,5,buildings [SEP] tall
402,5,building [SEP] tall
403,5,building [SEP] tall
404,4,bullet [SEP] kill
405,5,bullet [SEP] round
406,11,businesses [SEP] stockpile
407,0,business [SEP] occupation
408,0,business [SEP] profession
409,8,cafeteria [SEP] schools
410,4,camera [SEP] picture
411,4,camera [SEP] pictures
412,4,camera [SEP] videos
413,5,carpets [SEP] dirty
414,5,carpet [SEP] dirty
415,14,carpets [SEP] fur
416,8,chairs [SEP] office
417,9,chair [SEP] bench
418,14,chairs [SEP] wood
419,10,champagne [SEP] france
420,5,champagne [SEP] bubbly
421,5,champagne [SEP] bubbly
422,5,champagne [SEP] sparkling
423,9,chanting [SEP] prayer
424,1,cheap [SEP] expensive
425,8,checks [SEP] bank
426,9,chest [SEP] box
427,10,chest [SEP] body
428,9,chickadee [SEP] bird
429,9,chickadee [SEP] bird
430,9,chickadee [SEP] birds
431,5,chickadee [SEP] small
432,5,chickadees [SEP] smallest
433,5,chickadees [SEP] small
434,9,choke [SEP] abuse
435,0,choke [SEP] suffocate
436,11,cholesterol [SEP] medication
437,9,cleft [SEP] horse
438,8,climber [SEP] mountain
439,8,climber [SEP] mountain
440,8,climber [SEP] mountain
441,8,climber [SEP] mountain
442,8,clock [SEP] wall
443,8,clocks [SEP] wall
444,8,clock [SEP] walls
445,4,clock [SEP] alarm
446,13,clock [SEP] watch
447,1,closed [SEP] open
448,1,closer [SEP] farther
449,0,closer [SEP] nearer
450,10,clothing [SEP] dress
451,10,coffee [SEP] caffeine
452,0,commander [SEP] boss
453,0,comment [SEP] opinion
454,10,commitment [SEP] relationship
455,8,community [SEP] church
456,10,community [SEP] people
457,10,community [SEP] town
458,10,comrade [SEP] family
459,0,conceited [SEP] egotistical
460,0,confused [SEP] befuddled
461,9,conundrum [SEP] riddle
462,0,conundrum [SEP] problem
463,0,cordial [SEP] friendly
464,10,corner [SEP] square
465,0,cornucopia [SEP] profusion
466,0,corny [SEP] banal
467,0,corny [SEP] vapid
468,0,correct [SEP] right
469,14,cotton [SEP] cloth
470,11,counseled [SEP] therapy
471,0,counterfeit [SEP] false
472,8,cowgirl [SEP] western
473,9,cream [SEP] colour
474,9,cream [SEP] desserts
475,11,credit [SEP] income
476,0,critical [SEP] reproving
477,0,critical [SEP] scathing
478,0,crush [SEP] press
479,11,cry [SEP] sadness
480,0,cry [SEP] weep
481,14,crystal [SEP] chandeliers
482,9,danger [SEP] threat
483,8,darkness [SEP] vampires
484,0,decision [SEP] outcome
485,11,decor [SEP] outlined
486,10,decor [SEP] ornament
487,0,decor [SEP] furnishing
488,0,decor [SEP] look
489,1,defense [SEP] offense
490,1,defense [SEP] offense
491,0,delicious [SEP] mouthwatering
492,0,delicious [SEP] tasty
493,0,design [SEP] plan
494,9,diagram [SEP] drawing
495,9,diagram [SEP] picture
496,11,difference [SEP] change
497,0,different [SEP] dissimilar
498,10,discussion [SEP] argument
499,0,dismiss [SEP] terminate
500,9,doctor [SEP] surgeon
501,0,doctor [SEP] clinician
502,10,domestic [SEP] family
503,1,domestic [SEP] foreign
504,1,downstairs [SEP] upstairs
505,10,dream [SEP] sleep
506,11,drive [SEP] license
507,11,drive [SEP] license
508,11,education [SEP] learning
509,0,elated [SEP] delighted
510,14,elements [SEP] metals
511,10,element [SEP] chemistry
512,10,element [SEP] krypton
513,0,elementary [SEP] basic
514,0,embarrassing [SEP] frustrate
515,0,entire [SEP] complete
516,10,environment [SEP] trees
517,0,especially [SEP] mainly
518,0,especially [SEP] mostly
519,9,ethanol [SEP] alcohol
520,0,excellent [SEP] great
521,0,exciting [SEP] stirring
522,11,explain [SEP] understand
523,0,exterminate [SEP] kill
524,0,extremely [SEP] very
525,11,failing [SEP] practice
526,0,fantastic [SEP] fabulous
527,9,fantasy [SEP] magic
528,9,fantasy [SEP] sword
529,1,father [SEP] mother
530,0,fickle [SEP] picky
531,9,fighter [SEP] boxer
532,0,final [SEP] last
533,0,flashlight [SEP] lantern
534,14,floor [SEP] hard
535,1,forgot [SEP] remembered
536,0,forgot [SEP] failed
537,1,forget [SEP] remember
538,1,forgot [SEP] remember
539,1,forgetting [SEP] remembering
540,0,freedom [SEP] frustration
541,0,frosting [SEP] freeze
542,9,furnace [SEP] incinerator
543,11,furnace [SEP] serviced
544,10,gangster [SEP] mob
545,0,gasp [SEP] choke
546,9,gateway [SEP] opening
547,0,gateway [SEP] entrance
548,0,gateway [SEP] entry
549,1,general [SEP] specific
550,0,gently [SEP] kindly
551,0,gently [SEP] tenderly
552,5,glass [SEP] clear
553,5,glass [SEP] clear
554,14,glass [SEP] cup
555,14,glass [SEP] mirror
556,14,glass [SEP] window
557,9,goose [SEP] animal
558,5,goose [SEP] white
559,5,goose [SEP] white
560,9,goose [SEP] game
561,10,government [SEP] congress
562,10,government [SEP] judiciary
563,10,grandma [SEP] family
564,10,grandma [SEP] family
565,10,grandmother [SEP] family
566,14,grater [SEP] metal
567,9,green [SEP] colour
568,9,grounds [SEP] soil
569,0,hardly [SEP] narrowly
570,0,haven [SEP] refuge
571,0,haven [SEP] retreat
572,10,heaven [SEP] life
573,8,heavenly [SEP] angels
574,10,highest [SEP] peak
575,8,hillbillies [SEP] country
576,8,hillbilly [SEP] mountains
577,8,hillbilly [SEP] southern
578,0,hillbilly [SEP] redneck
579,5,hippos [SEP] largest
580,5,hippo [SEP] pink
581,8,hippo [SEP] africa
582,8,hippopotamuses [SEP] africa
583,0,hollow [SEP] dented
584,0,hollow [SEP] dished
585,0,horrible [SEP] terrible
586,9,horse [SEP] animal
587,9,horse [SEP] animal
588,10,house [SEP] door
589,10,houses [SEP] yard
590,8,house [SEP] family
591,11,hydrate [SEP] drink
592,11,hydrate [SEP] workout
593,2,ice [SEP] melt
594,10,idioms [SEP] language
595,8,igloo [SEP] eskimo
596,14,igloo [SEP] ice
597,14,igloo [SEP] ice
598,1,immortal [SEP] mortal
599,0,indent [SEP] notch
600,1,indoors [SEP] outdoors
601,9,insertion [SEP] military
602,1,inside [SEP] outside
603,0,instantly [SEP] immediately
604,0,interested [SEP] curious
605,0,interested [SEP] engaged
606,0,intervene [SEP] intercede
607,0,intervenes [SEP] intruding
608,0,intrinsic [SEP] inherent
609,0,inward [SEP] inside
610,9,jacket [SEP] clothing
611,14,jerky [SEP] beef
612,0,jesters [SEP] comedians
613,0,jobless [SEP] inactive
614,0,jobless [SEP] unemployed
615,0,jolly [SEP] happy
616,0,jolly [SEP] merry
617,0,judgment [SEP] decision
618,0,lately [SEP] recently
619,0,lately [SEP] recently
620,6,learned [SEP] knowledge
621,6,learn [SEP] knowledge
622,0,ledger [SEP] record
623,1,legal [SEP] illegal
624,1,legal [SEP] illegal
625,9,liberty [SEP] right
626,10,lieutenant [SEP] military
627,0,local [SEP] inhabitant
628,0,locked [SEP] sealed
629,1,longer [SEP] shorter
630,0,longer [SEP] largest
631,0,longed [SEP] superior
632,1,loose [SEP] tight
633,11,loosen [SEP] tie
634,0,lord [SEP] ruler
635,1,loudly [SEP] quietly
636,0,madam [SEP] woman
637,1,major [SEP] minor
638,1,majority [SEP] minority
639,9,makeup [SEP] lipstick
640,9,makeup [SEP] powder
641,10,matter [SEP] particles
642,0,matter [SEP] business
643,0,maxim [SEP] wide
644,0,maybe [SEP] perhaps
645,8,mayor [SEP] town
646,10,mayor [SEP] town
647,9,mechanic [SEP] worker
648,8,medicines [SEP] cabinet
649,8,medicine [SEP] cabinet
650,9,medicine [SEP] pills
651,11,medicine [SEP] illness
652,8,merchandise [SEP] shop
653,10,merchandise [SEP] shirt
654,9,millions [SEP] bills
655,0,mission [SEP] military
656,0,mission [SEP] plan
657,10,monarchy [SEP] queen
658,10,nasal [SEP] nose
659,10,nasal [SEP] throat
660,11,nauseous [SEP] puke
661,1,negatively [SEP] positively
662,9,neglect [SEP] ignoring
663,9,nickel [SEP] coin
664,9,nickel [SEP] coin
665,9,nickel [SEP] metal
666,1,north [SEP] south
667,0,notify [SEP] inform
668,0,notify [SEP] tell
669,0,notwithstanding [SEP] but
670,8,nurse [SEP] hospital
671,8,nurse [SEP] hospital
672,8,nurses [SEP] hospitals
673,8,nurse [SEP] hospital
674,10,objectives [SEP] mission
675,1,objective [SEP] subjective
676,10,outfit [SEP] pants
677,1,outside [SEP] inside
678,0,overdue [SEP] delayed
679,0,overdue [SEP] late
680,0,overwhelm [SEP] swamp
681,8,palace [SEP] king
682,8,palaces [SEP] royalty
683,14,paper [SEP] tree
684,10,parliament [SEP] government
685,9,payment [SEP] zelle
686,11,peace [SEP] love
687,0,pensive [SEP] cerebral
688,9,percolator [SEP] machine
689,1,pessimist [SEP] optimist
690,5,piano [SEP] heavy
691,4,piano [SEP] music
692,9,piano [SEP] instrument
693,0,picture [SEP] photograph
694,0,place [SEP] arrange
695,8,planets [SEP] space
696,8,planets [SEP] universe
697,8,planted [SEP] garden
698,9,platypus [SEP] animal
699,9,platypus [SEP] animal
700,9,platypus [SEP] mammal
701,9,platypus [SEP] mammal
702,10,police [SEP] government
703,9,policy [SEP] law
704,0,poorly [SEP] crappy
705,0,portray [SEP] describe
706,9,potato [SEP] vegetable
707,9,potato [SEP] vegetable
708,9,potato [SEP] vegetable
709,9,powder [SEP] coke
710,11,prays [SEP] faith
711,0,previously [SEP] before
712,8,priest [SEP] church
713,8,princess [SEP] palace
714,0,probably [SEP] likely
715,9,professor [SEP] teacher
716,0,professor [SEP] college
717,8,program [SEP] television
718,8,programs [SEP] television
719,0,program [SEP] initiative
720,0,proud [SEP] haughty
721,11,prove [SEP] evidence
722,0,proxy [SEP] broker
723,0,public [SEP] known
724,0,public [SEP] overt
725,9,purse [SEP] bag
726,9,purse [SEP] clutch
727,0,question [SEP] inquiry
728,0,quick [SEP] fast
729,1,quiet [SEP] loud
730,9,rabbit [SEP] animal
731,9,rabbit [SEP] animal
732,5,rabbit [SEP] furry
733,4,rabbit [SEP] pet
734,8,rabbits [SEP] warren
735,9,raspberry [SEP] fruit
736,9,raspberry [SEP] fruit
737,9,raspberry [SEP] fruit
738,9,raspberry [SEP] fruit
739,5,raspberry [SEP] pink
740,5,raspberries [SEP] red
741,5,raspberries [SEP] red
742,10,ratios [SEP] geometry
743,0,reading [SEP] scrutiny
744,0,regardless [SEP] anyway
745,9,relationship [SEP] family
746,0,relationship [SEP] association
747,0,relationship [SEP] link
748,0,relaxing [SEP] chill
749,11,replace [SEP] convert
750,0,replace [SEP] change
751,0,replace [SEP] substitude
752,11,rescue [SEP] equipment
753,10,rhapsody [SEP] bohemian
754,9,rifle [SEP] gun
755,9,rifle [SEP] gun
756,9,rifle [SEP] gun
757,4,rifle [SEP] hunting
758,4,rifle [SEP] hunting
759,4,rifle [SEP] shot
760,9,rifle [SEP] weapon
761,9,rifles [SEP] weapons
762,11,rifle [SEP] hunting
763,1,right [SEP] left
764,9,roman [SEP] dress
765,0,roughly [SEP] forcefully
766,9,running [SEP] cardio
767,9,running [SEP] sport
768,5,sandpaper [SEP] harsh
769,5,sandpaper [SEP] rough
770,5,sandpaper [SEP] rough
771,4,sandpaper [SEP] sanding
772,11,savior [SEP] brave
773,9,score [SEP] tally
774,0,seductive [SEP] sexy
775,0,seldom [SEP] rarely
776,9,sense [SEP] taste
777,0,seriously [SEP] earnestly
778,0,seriously [SEP] solemnly
779,11,settle [SEP] relax
780,11,settle [SEP] situate
781,0,settle [SEP] resolve
782,9,shaker [SEP] container
783,8,shanty [SEP] poor
784,8,sharks [SEP] ocean
785,8,sharks [SEP] tanks
786,5,shark [SEP] big
787,8,sharks [SEP] sea
788,9,shears [SEP] tool
789,1,shrink [SEP] grow
790,14,silver [SEP] cutlery
791,14,silver [SEP] jewelry
792,14,silver [SEP] ring
793,0,sincerely [SEP] truly
794,1,single [SEP] married
795,1,singular [SEP] plural
796,9,skunk [SEP] animals
797,5,skunks [SEP] smelly
798,5,stunk [SEP] stripe
799,1,small [SEP] big
800,1,small [SEP] big
801,1,small [SEP] large
802,0,snuggle [SEP] nestle
803,9,soccer [SEP] sport
804,9,socialism [SEP] government
805,9,socialism [SEP] government
806,14,solvents [SEP] chemicals
807,14,solvent [SEP] cleaner
808,1,sooner [SEP] later
809,1,south [SEP] north
810,1,south [SEP] north
811,11,sowing [SEP] soil
812,9,spaghetti [SEP] pasta
813,9,spaghetti [SEP] pasta
814,0,speech [SEP] talk
815,0,speech [SEP] talking
816,9,spiky [SEP] style
817,11,split [SEP] cut
818,1,spring [SEP] fall
819,0,squeak [SEP] screak
820,10,stage [SEP] theater
821,14,stairs [SEP] wood
822,8,stalls [SEP] barn
823,8,stall [SEP] bathroom
824,8,stall [SEP] bathroom
825,8,stall [SEP] bathroom
826,8,stalls [SEP] bathroom
827,8,stalls [SEP] bathroom
828,8,stalls [SEP] horses
829,8,steak [SEP] grill
830,9,steak [SEP] meat
831,9,stencil [SEP] sheet
832,0,stick [SEP] branch
833,9,stone [SEP] gem
834,14,stone [SEP] wall
835,0,stone [SEP] rock
836,0,store [SEP] market
837,8,storm [SEP] sea
838,9,storm [SEP] tornado
839,0,storm [SEP] tornado
840,9,story [SEP] fable
841,9,story [SEP] tale
842,0,strand [SEP] string
843,14,streets [SEP] concrete
844,1,strengths [SEP] weakness
845,11,strike [SEP] unite
846,0,strip [SEP] withdraw
847,8,students [SEP] school
848,8,students [SEP] school
849,10,suburb [SEP] town
850,0,sudden [SEP] unforeseen
851,10,sugar [SEP] galactose
852,1,sunrise [SEP] sunset
853,0,supposed [SEP] thought
854,11,sustain [SEP] monitor
855,0,synonym [SEP] similar
856,1,synonym [SEP] antonym
857,1,synonym [SEP] antonym
858,0,syringe [SEP] needle
859,7,table [SEP] chairs
860,5,table [SEP] round
861,9,tablet [SEP] computer
862,0,tactful [SEP] considerate
863,10,teacher [SEP] school
864,4,telephone [SEP] communicate
865,0,terrific [SEP] fantastic
866,0,thief [SEP] burglar
867,0,thief [SEP] robber
868,11,ticket [SEP] game
869,0,ticket [SEP] pass
870,9,tired [SEP] exhausted
871,10,title [SEP] name
872,0,total [SEP] all
873,0,totally [SEP] certainly
874,0,totally [SEP] definitely
875,8,trash [SEP] dump
876,8,trash [SEP] dumps
877,10,trial [SEP] jury
878,0,trial [SEP] case
879,0,trial [SEP] suit
880,0,trousers [SEP] pants
881,0,trousers [SEP] pants
882,5,trousers [SEP] short
883,5,truck [SEP] long
884,4,truck [SEP] transport
885,9,truck [SEP] pickup
886,0,truly [SEP] really
887,0,trust [SEP] confidence
888,0,trust [SEP] faith
889,1,truth [SEP] lie
890,0,truth [SEP] correct
891,9,twist [SEP] dance
892,0,ultra [SEP] super
893,1,unalike [SEP] alike
894,9,uncivilized [SEP] behavior
895,10,uncle [SEP] family
896,10,uncle [SEP] family
897,11,undertaken [SEP] done
898,0,upset [SEP] distressed
899,1,upstream [SEP] flow
900,10,uptown [SEP] buildings
901,0,usually [SEP] mostly
902,0,usually [SEP] often
903,0,usually [SEP] typically
904,10,utilities [SEP] electric
905,0,utilize [SEP] customize
906,0,utilize [SEP] employ
907,0,utilize [SEP] use
908,10,variable [SEP] equation
909,0,variable [SEP] changeable
910,0,visit [SEP] arrive
911,0,voluntary [SEP] optional
912,0,voluntary [SEP] serviceman
913,9,voodoo [SEP] magic
914,9,voodoo [SEP] spirituality
915,8,wallet [SEP] pocket
916,8,wallet [SEP] pocket
917,9,warning [SEP] alarm
918,9,warning [SEP] caution
919,10,weight [SEP] science
920,0,weight [SEP] load
921,5,wheel [SEP] round
922,5,wheel [SEP] circular
923,1,worse [SEP] good
924,9,wound [SEP] cut
925,9,writer [SEP] job
926,1,yesterday [SEP] tomorrow
927,1,young [SEP] old
928,1,young [SEP] old
929,0,adore [SEP] love
930,0,adore [SEP] love
931,6,advantage [SEP] benefits
932,8,bedrooms [SEP] bed
933,8,bedroom [SEP] closet
934,8,bedroom [SEP] dresser
935,10,bicycles [SEP] wheel
936,10,blender [SEP] blades
937,10,blender [SEP] blades
938,6,bullet [SEP] wound
